company_id,company_name,sector,city,state,lat,lng,verified,rating,total_transactions,material_type,material_label,quantity_kg,price_per_kg,emission_factor,sector_material,description
C001,Modern Associates,Foundry,Delhi,Delhi,28.939407740622908,76.85466329957765,True,3.5,27,sawdust,Sawdust,551,3.7,0.65,organic,"Sawdust surplus from foundry operations, approximately 551kg available, grade B, located in Delhi, Delhi"
C002,Aditya Limited,Chemical Plant,Ahmedabad,Gujarat,23.208158274006696,72.27529925580683,True,4.5,43,sawdust,Sawdust,1486,4.1,0.65,organic,"Sawdust surplus from textile mill operations, approximately 1486kg available, grade A, located in Ahmedabad, Gujarat"
C003,Mahindra Solutions,Food Processing,Surat,Gujarat,21.028912520333208,72.55717026575387,True,3.7,118,pcb_scrap,PCB / E-Waste Scrap,259,158.0,5.4,electronic,"PCB / E-Waste Scrap surplus from packaging manufacturer operations, approximately 259kg available, grade B, located in Surat, Gujarat"
C004,Global Manufacturing,Automobile Parts,Chennai,Tamil Nadu,13.179457991140627,80.43454100447322,True,4.8,110,used_lubricant,Used Lubricant Oil,1863,27.7,2.85,chemical,"Used Lubricant Oil surplus from food processing operations, approximately 1863kg available, grade A, located in Chennai, Tamil Nadu"
C005,National Limited,Furniture Manufacturer,Pune,Maharashtra,18.323083188918858,73.99417607877021,False,4.1,118,mixed_plastic,Mixed Plastic Scrap,808,17.2,1.5,plastics,"Mixed Plastic Scrap surplus from furniture manufacturer operations, approximately 808kg available, grade B, located in Pune, Maharashtra"
C005,National Limited,Furniture Manufacturer,Pune,Maharashtra,18.323083188918858,73.99417607877021,False,4.1,118,wood_chips,Wood Chips,596,6.4,0.72,organic,"Wood Chips surplus from furniture manufacturer operations, approximately 596kg available, grade A, located in Pune, Maharashtra"
C006,Reliance Works,Chemical Plant,Delhi,Delhi,28.44381316312693,77.35038167451134,True,4.6,27,used_lubricant,Used Lubricant Oil,164,23.0,2.85,chemical,"Used Lubricant Oil surplus from automobile parts operations, approximately 164kg available, grade B, located in Delhi, Delhi"
C007,United Works,Food Processing,Delhi,Delhi,28.64374030308424,76.93409245549438,True,4.3,11,fly_ash,Fly Ash,592,2.7,0.48,industrial,"Fly Ash surplus from foundry operations, approximately 592kg available, grade B, located in Delhi, Delhi"
C007,United Works,Food Processing,Delhi,Delhi,28.64374030308424,76.93409245549438,True,4.3,11,wood_chips,Wood Chips,1199,6.1,0.72,organic,"Wood Chips surplus from foundry operations, approximately 1199kg available, grade A, located in Delhi, Delhi"
C008,Kalyan Manufacturing,Paper Mill,Jamshedpur,Jharkhand,22.733571571903923,86.50057282814406,True,5.0,110,copper_wire,Copper Wire Scrap,377,456.8,3.8,metals,"Copper Wire Scrap surplus from paper mill operations, approximately 377kg available, grade A, located in Jamshedpur, Jharkhand"
C009,Aditya Industries,Foundry,Mumbai,Maharashtra,19.301511764226916,72.73573343045067,True,3.8,116,pcb_scrap,PCB / E-Waste Scrap,278,168.8,5.4,electronic,"PCB / E-Waste Scrap surplus from construction materials operations, approximately 278kg available, grade B, located in Mumbai, Maharashtra"
C010,Kalyan Solutions,Electronics Assembly,Pune,Maharashtra,18.232086045431497,74.11415916975878,True,4.7,39,copper_wire,Copper Wire Scrap,380,425.0,3.8,metals,"Copper Wire Scrap surplus from cement plant operations, approximately 380kg available, grade A, located in Pune, Maharashtra"
C010,Kalyan Solutions,Electronics Assembly,Pune,Maharashtra,18.232086045431497,74.11415916975878,True,4.7,39,pet_flakes,PET Flakes,1939,45.4,2.15,plastics,"PET Flakes surplus from automobile parts operations, approximately 1939kg available, grade A, located in Pune, Maharashtra"
C011,Pioneer Manufacturing,Cement Plant,Ahmedabad,Gujarat,23.04212370171771,72.34685630691226,True,4.9,21,fly_ash,Fly Ash,1989,2.6,0.48,industrial,"Fly Ash surplus from foundry operations, approximately 1989kg available, grade B, located in Ahmedabad, Gujarat"
C012,Mahindra Pvt Ltd,Plastic Moulding,Surat,Gujarat,21.14109168483468,72.67984336819961,False,3.5,70,fly_ash,Fly Ash,1544,3.2,0.48,industrial,"Fly Ash surplus from foundry operations, approximately 1544kg available, grade A, located in Surat, Gujarat"
C012,Mahindra Pvt Ltd,Plastic Moulding,Surat,Gujarat,21.14109168483468,72.67984336819961,False,3.5,70,cardboard,Cardboard / OCC,688,11.6,0.94,paper,"Cardboard / OCC surplus from furniture manufacturer operations, approximately 688kg available, grade B, located in Surat, Gujarat"
C013,Bharat Solutions,Packaging Manufacturer,Ahmedabad,Gujarat,23.030993671885156,72.43848635837873,True,4.3,92,aluminum_scrap,Aluminium Scrap,1342,82.4,9.2,metals,"Aluminium Scrap surplus from packaging manufacturer operations, approximately 1342kg available, grade B, located in Ahmedabad, Gujarat"
C014,JSW Pvt Ltd,Paint Manufacturer,Indore,MP,22.85704550967591,75.96171872837597,True,3.6,51,pcb_scrap,PCB / E-Waste Scrap,883,163.3,5.4,electronic,"PCB / E-Waste Scrap surplus from packaging manufacturer operations, approximately 883kg available, grade B, located in Indore, MP"
C014,JSW Pvt Ltd,Paint Manufacturer,Indore,MP,22.85704550967591,75.96171872837597,True,3.6,51,mixed_plastic,Mixed Plastic Scrap,1399,17.6,1.5,plastics,"Mixed Plastic Scrap surplus from paper mill operations, approximately 1399kg available, grade B, located in Indore, MP"
C015,National Pvt Ltd,Cement Plant,Ludhiana,Punjab,31.1178094628571,75.88749518746991,False,5.0,107,iron_powder,Iron Powder,1148,21.7,1.6,metals,"Iron Powder surplus from paper mill operations, approximately 1148kg available, grade B, located in Ludhiana, Punjab"
C015,National Pvt Ltd,Cement Plant,Ludhiana,Punjab,31.1178094628571,75.88749518746991,False,5.0,107,fly_ash,Fly Ash,425,2.8,0.48,industrial,"Fly Ash surplus from textile mill operations, approximately 425kg available, grade B, located in Ludhiana, Punjab"
C016,Jindal Industries,Construction Materials,Mumbai,Maharashtra,19.00338387138615,73.16888530626784,True,4.7,58,copper_wire,Copper Wire Scrap,1044,417.7,3.8,metals,"Copper Wire Scrap surplus from paint manufacturer operations, approximately 1044kg available, grade B, located in Mumbai, Maharashtra"
C017,Bharat Limited,Electronics Assembly,Surat,Gujarat,21.17191022975171,73.04273193522897,False,4.9,10,copper_wire,Copper Wire Scrap,169,430.0,3.8,metals,"Copper Wire Scrap surplus from plastic moulding operations, approximately 169kg available, grade A, located in Surat, Gujarat"
C017,Bharat Limited,Electronics Assembly,Surat,Gujarat,21.17191022975171,73.04273193522897,False,4.9,10,iron_powder,Iron Powder,174,23.6,1.6,metals,"Iron Powder surplus from automobile parts operations, approximately 174kg available, grade A, located in Surat, Gujarat"
C018,Modern Limited,Textile Mill,Kolkata,West Bengal,22.619951434504326,88.08774499737343,False,4.5,72,kraft_paper,Kraft Paper Waste,1432,8.9,0.86,paper,"Kraft Paper Waste surplus from paper mill operations, approximately 1432kg available, grade A, located in Kolkata, West Bengal"
C019,Reliance Manufacturing,Automobile Parts,Hyderabad,Telangana,17.359971313571155,78.78577266451266,True,3.6,27,iron_powder,Iron Powder,538,20.5,1.6,metals,"Iron Powder surplus from construction materials operations, approximately 538kg available, grade B, located in Hyderabad, Telangana"
C019,Reliance Manufacturing,Automobile Parts,Hyderabad,Telangana,17.359971313571155,78.78577266451266,True,3.6,27,wood_chips,Wood Chips,1425,6.3,0.72,organic,"Wood Chips surplus from electronics assembly operations, approximately 1425kg available, grade A, located in Hyderabad, Telangana"
C020,Tata Limited,Cement Plant,Hyderabad,Telangana,17.477385790626442,78.1913938642913,True,3.9,84,fly_ash,Fly Ash,1850,2.8,0.48,industrial,"Fly Ash surplus from chemical plant operations, approximately 1850kg available, grade B, located in Hyderabad, Telangana"
C020,Tata Limited,Cement Plant,Hyderabad,Telangana,17.477385790626442,78.1913938642913,True,3.9,84,pet_flakes,PET Flakes,373,44.2,2.15,plastics,"PET Flakes surplus from plastic moulding operations, approximately 373kg available, grade B, located in Hyderabad, Telangana"
C021,Kalyan Processing,Foundry,Pune,Maharashtra,18.426128172675952,73.9691982772808,True,4.3,32,aluminum_scrap,Aluminium Scrap,1183,85.2,9.2,metals,"Aluminium Scrap surplus from chemical plant operations, approximately 1183kg available, grade B, located in Pune, Maharashtra"
C022,Reliance Recyclers,Furniture Manufacturer,Indore,MP,23.0074787722973,75.65464918576433,True,4.6,71,wood_chips,Wood Chips,1748,5.6,0.72,organic,"Wood Chips surplus from automobile parts operations, approximately 1748kg available, grade B, located in Indore, MP"
C023,Mahindra Limited,Plastic Moulding,Mumbai,Maharashtra,18.86485627134049,72.65416731156928,True,4.8,101,fly_ash,Fly Ash,1901,2.7,0.48,industrial,"Fly Ash surplus from automobile parts operations, approximately 1901kg available, grade B, located in Mumbai, Maharashtra"
C024,Allied Works,Food Processing,Kolkata,West Bengal,22.722286566686126,88.61935829354174,True,3.7,102,iron_powder,Iron Powder,1415,19.4,1.6,metals,"Iron Powder surplus from cement plant operations, approximately 1415kg available, grade B, located in Kolkata, West Bengal"
C025,Shree Enterprises,Construction Materials,Jamshedpur,Jharkhand,22.977024705481284,85.96775737584177,True,4.8,28,steel_scrap,Steel Scrap,1943,36.1,1.85,metals,"Steel Scrap surplus from paper mill operations, approximately 1943kg available, grade B, located in Jamshedpur, Jharkhand"
C026,National Enterprises,Steel Mill,Ahmedabad,Gujarat,23.107389043164577,72.51120703061603,True,4.3,120,hdpe_pellets,HDPE Plastic Pellets,506,49.7,1.73,plastics,"HDPE Plastic Pellets surplus from textile mill operations, approximately 506kg available, grade B, located in Ahmedabad, Gujarat"
C026,National Enterprises,Steel Mill,Ahmedabad,Gujarat,23.107389043164577,72.51120703061603,True,4.3,120,used_lubricant,Used Lubricant Oil,866,23.7,2.85,chemical,"Used Lubricant Oil surplus from paint manufacturer operations, approximately 866kg available, grade B, located in Ahmedabad, Gujarat"
C027,Mahindra Solutions,Paper Mill,Mumbai,Maharashtra,19.139725311983685,72.8845538358017,True,4.4,32,copper_wire,Copper Wire Scrap,128,370.7,3.8,metals,"Copper Wire Scrap surplus from paper mill operations, approximately 128kg available, grade B, located in Mumbai, Maharashtra"
C028,JSW Manufacturing,Furniture Manufacturer,Mumbai,Maharashtra,19.328462513730823,72.95159324596786,True,3.7,115,cardboard,Cardboard / OCC,1456,12.8,0.94,paper,"Cardboard / OCC surplus from foundry operations, approximately 1456kg available, grade A, located in Mumbai, Maharashtra"
C028,JSW Manufacturing,Furniture Manufacturer,Mumbai,Maharashtra,19.328462513730823,72.95159324596786,True,3.7,115,pcb_scrap,PCB / E-Waste Scrap,1559,189.2,5.4,electronic,"PCB / E-Waste Scrap surplus from steel mill operations, approximately 1559kg available, grade A, located in Mumbai, Maharashtra"
C029,Apex Limited,Food Processing,Surat,Gujarat,21.050769924739342,72.85986232788143,False,3.9,55,pet_flakes,PET Flakes,1185,40.0,2.15,plastics,"PET Flakes surplus from paper mill operations, approximately 1185kg available, grade B, located in Surat, Gujarat"
